Name,Rating,Difficulty
Julia Lerch,5,2.3
Ming Leung,4.4,2.5
Simon Leung,2.8,3
Ines Levin Fiorelli,2.8,1.5
Marco Levorato,3,3.4
Audrey Lew,2.9,3.5
Chen Li,3.4,4.2
Li Han,2.9,3.9
Li Zhou,3.4,4.1
Chuchu Liang,3,3.5
Robert Beck,3.1,3.5
Robert H. Liebeck,2.4,4.5
Mimi Liljeholm,3.4,4
Kwei-Jay Lin,3.1,3.2
Zhihong Lin,2.5,3.8
Mahaliah Little,5,2.3
Catherine Liu,4.8,3.5
Chang Liu,3.1,2.9
Feng Liu,3.9,2.6
Wendy Liu-Battalora,4,3.2
Loretta Livingston,4.7,3.2
Erin Lockwood,4,3.3
Melissa Lodoen,4.7,3.2
Elizabeth F. Loftus,3.7,3.1
Shahrdad Lotfipour,5,1
Catherine Loudon,5,3.6
Ben Lourie,2.8,3.2
Vanessa Rodriguez Barrera,3.5,4.5
Yunxia Lu,3.7,2.9
Zhiqin Lu,2.3,4
Radhika Lunawat,3.6,2.5
Rui (Ray) Luo,2.3,3.3
Andrej Luptak,3.4,4.6
Molly Lynch,4.8,2.3
Li Guann-Pyng,0,0
Li-Jun Ji,3.3,3
MO LI,2.8,3.3
Song-Ying Li,3,3
Shin Lin,3.4,2.5
Frank MacCrory,4.3,2.5
Grant MacGregor,4.9,3.4
Katherine Mackey,4.1,1.9
Lilith Mahmud-Abdelwahab,4.4,3.4
Aditi Majumder,1.6,4.6
Catherine Malabou,5,5
Joan Malczewski,3.4,3.6
Sam Malek,3.4,3.6
Lynn Mally,4.6,2.6
Stephan Mandt,4.6,4
Adam Mangold,5,4
George E. Marcus,3.2,1.7
Raffaele Mari,3.1,3.4
Gloria Mark,3.5,2.9
Athina Markopoulou,2.3,3.5
James Marshall,4.1,2.4
Craig Martens,3.7,2
Elizabeth Martin,3.8,3.5
Rachel Martin,4.3,2.7
Chris Martinez,4,3
Lyle Massey,3.6,3.4
William Maurer,4.3,2.9
Cheryl Lee Maxson,3.3,3
Sanjoy Mazumdar,4.1,2.2
Philip McCarty,5,2
Annie McClanahan,5,3.3
Vincent McDonell,0,0
Lowell Bruce McKay,4.8,3.3
Michael McNally,0,0
Reginald McNulty,1.6,4
Alexander McPherson,2.9,3.7
Mary McThomas,4.5,3.3
Toby Meadows,5,3
Sara Mednick,2.3,3.6
Sharad Mehrotra,3.4,4.3
Irene Messoloras,3.5,3.8
Raju Metherate,3.8,4
Ronald L. Meyer,4.2,2.4
Milena Mihail,1.9,2.5
Maryse Mijalski,5,2.3
Joel Milam,4.1,2
Fabio Milani,2.9,3.4
Rasul Miller,2.8,3.9
Jessica Millward,2.9,2.5
Yong Soon Min,1.6,2.4
David L. Mobley,5,2
