major,major_name,required_classes
physics_bs,Physics,"['MATH2A', 'orMATH5A', 'MATH2B', 'MATH2D', 'MATH2E', 'MATH3A', 'MATH3D', 'PHYSICS7LC', 'PHYSICS7LD', 'PHYSICS50', 'PHYSICS53', 'PHYSICS60', 'PHYSICS61A', 'PHYSICS61B', 'orPHYSICS61C', 'PHYSICS111A', 'PHYSICS111B', 'PHYSICS112A', 'PHYSICS112B', 'PHYSICS113A', 'PHYSICS115A', 'PHYSICS121W', 'PHYSICS125A', 'PHYSICS194', 'MATH2B', 'MATH2D', 'MATH2E', 'PHYSICS7C', 'PHYSICS7LC', 'PHYSICS7D', 'PHYSICS7LD', 'PHYSICS7E', 'MATH3A', 'MATH3D', 'PHYSICS52C', 'PHYSICS52A', 'PHYSICS52B', 'PHYSICS53', 'PHYSICS60', 'PHYSICS61A', 'PHYSICS111A', 'PHYSICS111B', 'PHYSICS112B', 'PHYSICS50', 'PHYSICS112A', 'PHYSICS113A', 'PHYSICS115A', 'PHYSICS121W', 'PHYSICS194', 'PHYSICS125A', 'I&CSCI31', 'I&CSCI32', 'I&CSCI33', 'MATH105A', 'MATH105B', 'MATH105LA', 'MATH105LB', 'MATH107', 'MATH107L', 'I&CSCI31', 'I&CSCI32', 'I&CSCI33', 'MATH105A', 'MATH105LA', 'MATH105B', 'MATH105LB', 'MATH107', 'MATH107L', 'LPS40', 'LPS60', 'LPS30', 'LPS104', 'MATH150', 'LPS31', 'LPS104', 'LPS140', 'MATH150', 'PHYSICS113B', 'LPS141B', 'LPS141D', 'EDUC55', 'PHYSCI5', 'PHYSCI105', 'PHYSICS193', 'BIOSCI1A', 'BIOSCI93', 'BIOSCI94', 'EARTHSS1', 'EARTHSS7', 'PHYSICS20A', 'PHYSICS20B', 'LPS60', 'EDUC109', 'EDUC143AW', 'EDUC143BW', 'EDUC148', 'EDUC158', 'MATH2B', 'MATH2D', 'MATH2E', 'PHYSICS7C', 'PHYSICS7LC', 'PHYSICS7D', 'PHYSICS7LD', 'PHYSICS7E', 'PHYSCI5', 'MATH3A', 'MATH3D', 'PHYSICS60', 'PHYSICS52A', 'PHYSICS61A', 'PHYSICS61B', 'PHYSCI105', 'PHYSICS52B', 'PHYSICS52C', 'PHYSICS193', 'LPS60', 'PHYSICS50', 'PHYSICS111B', 'PHYSICS53', 'PHYSICS111A', 'PHYSICS112A', 'PHYSICS112B', 'PHYSICS113A', 'EDUC143AW', 'EDUC148', 'EDUC55', 'PHYSICS115A', 'PHYSICS121W', 'EDUC109', 'EDUC143BW', 'EDUC158', 'EDUC158', 'PHYSICS61C', 'PHYSICS139', 'PHYSICS137', 'PHYSICS138', 'PHYSICS144', 'PHYSICS145', 'PHYSICS113B', 'PHYSICS125B', 'PHYSICS116', 'PHYSICS134A', 'PHYSICS135', 'PHYSICS136', 'PHYSICS137', 'PHYSICS116', 'PHYSICS113B', 'PHYSICS138', 'PHYSICS135', 'PHYSICS139', 'PHYSICS125B']"
politicalscience_ba,Political Science,"['POLSCI11A', 'POLSCI11C', 'POLSCI21A', 'POLSCI31A', 'POLSCI41A', 'POLSCI51A', 'POLSCI61A', 'POLSCI71A']"
psychologicalscience_ba,Psychological Science,"['PSCI11A', 'PSCI11B', 'PSCI11C', 'PSCI101D', 'PSCI102C', 'PSCI103H', 'PSCI104S', 'PSCI220', 'PSCI221', 'PSCI221', 'PSCI222', 'PSCI223', 'PSCI225', 'PSCI226', 'PSCI227', 'PSCI228', 'PSCI231', 'PSCI236', 'PSCI237', 'PSCI340', 'PSCI341', 'PSCI343', 'PSCI344', 'PSCI346', 'PSCI348', 'PSCI349', 'PSCI353', 'PSCI354', 'PSCI355', 'PSCI357', 'PSCI358', 'PSCI100', 'PSCI190A–193Z', 'PSCI196', 'SOCECOL190']"
psychology_ba,Psychology B.A.,"['ANTHRO2A', 'ANTHRO2B', 'ANTHRO2D', 'ECON1', 'LSCI3', 'POLSCI11C', 'SOCSCI5A', 'SOCIOL1', 'SOCIOL2', 'SOCIOL3', 'PSYCH112A', 'PSYCH112LA', 'PSYCH112M', 'PSYCH112LM', 'PSYCH112R', 'PSYCH112LR', 'PSYCH120A', 'PSYCH120D', 'PSYCH120H', 'PSYCH120P', 'PSYCH130A', 'PSYCH140C', 'PSYCH140L', 'PSYCH140M', 'PSYCH150', 'PSYCH160A', 'PSYCH160D']"
psychology_bs,Psychology B.S.,"['LPS31', 'BIOSCI35', 'BIOSCI36', 'BIOSCI37', 'BIOSCI38', 'BIOSCI41', 'BIOSCI47', 'BIOSCI75', 'BIOSCI93', 'BIOSCI94', 'CHEM1A', 'CHEM1LA', 'CHEM1B', 'CHEM1C', 'CHEM1LC', 'COGS108', 'PHYSICS3A', 'PHYSICS3B', 'PHYSICS3LB', 'PHYSICS3C', 'PHYSICS3LC', 'PHYSICS7C', 'PHYSICS7LC', 'PHYSICS7D', 'PHYSICS7LD', 'PHYSICS7E', 'COGS14P', 'MATH2A', 'MATH2B', 'MATH5A', 'MATH5B', 'MATH3A', 'MATH3D', 'LPS30', 'LPS40', 'LPS60', 'PHYSICS15', 'CHEM51A', 'CHEM51B', 'CHEM51LB', 'CHEM51C', 'CHEM51LC', 'PSYCH120A', 'PSYCH120D', 'PSYCH120H', 'PSYCH120P', 'PSYCH130A', 'PSYCH140C', 'PSYCH140J', 'PSYCH140L', 'PSYCH140M', 'PSYCH150', 'PSYCH160A', 'PSYCH160D', 'PSYCH160H', 'PSYCH112A', 'PSYCH112LA', 'PSYCH112BW', 'PSYCH112LB', 'PSYCH112C', 'PSYCH112LC', 'PSYCH112M', 'PSYCH112LM', 'PSYCH112P', 'PSYCH112LP', 'PSYCH112R', 'PSYCH112LR']"
publichealthpolicy_ba,Public Health Policy,"['PUBHLTH1', 'PUBHLTH2', 'PUBHLTH30', 'PUBHLTH60', 'PUBHLTH80', 'PUBHLTH90', 'PUBHLTH7A', 'PUBHLTH7B', 'PSCI9', 'SOCIOL1', 'SOCIOL2', 'SOCIOL3', 'ECON1', 'ECON13', 'ECON20A', 'ECON20B', 'ANTHRO2A', 'ANTHRO2B', 'ANTHRO2C', 'ANTHRO2D', 'ANTHRO41A', 'POLSCI31A', 'POLSCI51A', 'UPPP8', 'INTLST11', 'INTLST13', 'PUBHLTH101', 'PUBHLTH122', 'PUBHLTH144', 'PUBHLTH170', 'PUBHLTH139', 'orPUBHLTH159', 'ECON123A', 'ECON123B', 'MGMT101', 'MGMT107', 'MGMT165', 'MGMT166', 'UPPP102', 'UPPP103', 'UPPP112', 'UPPP166', 'PUBHLTH240', 'PUBHLTH241', 'PUBHLTH242', 'PUBHLTH245', 'PUBHLTH246', 'PUBHLTH247', 'PUBHLTH249', 'PUBHLTH252', 'PUBHLTH255', 'PUBHLTH258', 'PUBHLTH259', 'PUBHLTH174', 'PUBHLTH190', 'PUBHLTH193', 'SOCIOL154', 'ANTHRO134A', 'ANTHRO134C', 'ANTHRO134F', 'PSCI137H', 'PSCI138H', 'PSCI183S', 'PUBHLTH102', 'PUBHLTH281', 'PUBHLTH284', 'PUBHLTH286', 'PUBHLTH287', 'PUBHLTH288', 'PUBHLTH290', 'PUBHLTH299', 'PUBHLTH176', 'PUBHLTH195W']"
publichealthsciences_bs,Public Health Sciences,[]
quantitativeeconomics_ba,Quantitative Economics,"['ECON20A', 'ECON20B', 'MATH2A', 'MATH2B', 'MATH3A', 'ECON123A', 'ECON123B', 'ECON107', 'ECON116A', 'ECON116B', 'ECON122CW', 'ECON123CW', 'ECON126', 'ECON128', 'ECON129', 'ECON131A', 'ECON135']"
religiousstudies_ba,Religious Studies,['RELSTD110']
socialecology_ba,Social Ecology,[]
socialpolicyandpublicservice_ba,Social Policy and Public Service,"['SOCSCI1A', 'SOCSCI2A', 'SOCSCI3A', 'SOCSCI40', 'SOCSCI70C', 'orSOCIOL63', 'SOCSCI181A', 'SOCSCI102A', 'SOCSCI170A', 'SOCSCI194A', 'EDUC124', 'EDUC126', 'EDUC132', 'EDUC150', 'EDUC157', 'EDUC175', 'EDUC180', 'ECON158', 'SOCSCI196', 'ANTHRO121J', 'INTLST161A', 'INTLST165', 'INTLST177C', 'INTLST177E', 'POLSCI122A', 'POLSCI122B', 'POLSCI124A', 'POLSCI124B', 'POLSCI124C', 'POLSCI124E', 'POLSCI125A', 'POLSCI126C', 'POLSCI126D', 'POLSCI130A', 'POLSCI130B', 'POLSCI142D', 'POLSCI151H', 'POLSCI171D', 'POLSCI171F', 'POLSCI172A', 'POLSCI174A', 'POLSCI174C', 'POLSCI179', 'SOCSCI152A', 'SOCSCI188A', 'SOCIOL138', 'SOCIOL141', 'SOCIOL144', 'SOCIOL177W', 'ANTHRO128B', 'ANTHRO132A', 'ANTHRO134A', 'PSYCH120A', 'PSYCH120D', 'PSYCH121S', 'PSYCH174E', 'SOCIOL135', 'SOCIOL154']"
sociology_ba,Sociology,"['SOCIOL1', 'SOCIOL2', 'orSOCIOL3', 'SOCIOL110', 'SOCIOL120', 'SOCIOL180A']"
softwareengineering_bs,Software Engineering,"['I&CSCI45C', 'I&CSCI45J', 'I&CSCI46', 'I&CSCI51', 'MATH2A', 'MATH2B', 'I&CSCI6B', 'I&CSCI6D', 'I&CSCI6N', 'orMATH3A', 'STATS67', 'COMPSCI122A', 'COMPSCI143A', 'COMPSCI132', 'COMPSCI161', 'I&CSCI139W', 'COMPSCI133', 'COMPSCI134', 'COMPSCI142A', 'COMPSCI142B', 'COMPSCI145', 'COMPSCI146', 'COMPSCI165', 'I&CSCI167', 'I&CSCI168']"
spanish_ba,Spanish,"['SPANISH101A', 'SPANISH101B', 'SPANISH113B', 'SPANISH119', 'SPANISH190']"
urbanstudies_ba,Urban Studies,"['UPPP4', 'UPPP5', 'UPPP40', 'UPPP101', 'UPPP107', 'UPPP113', 'UPPP131', 'UPPP146', 'UPPP155', 'UPPP166', 'UPPP120', 'UPPP125', 'UPPP127']"
