major,major_name,required_classes
classics_ba,Classics,"['LATIN103', 'LATIN104', 'CLASSIC140', 'CLASSIC150', 'CLASSIC160', 'CLASSIC170', 'CLASSIC176']"
cognitivesciences_bs,Cognitive Sciences,"['MATH2A', 'MATH2B', 'COGS106', 'COGS107', 'COGS108', 'PSYCH14M', 'orCOGS14P', 'COGS109', 'PSYCH112A', 'PSYCH112LA', 'PSYCH112BW', 'PSYCH112LB', 'PSYCH112C', 'PSYCH112LC', 'COGS112P', 'COGS112LP', 'COGS112R', 'COGS112LR', 'BIOSCI35', 'BIOSCI36', 'BIOSCI37', 'BIOSCI38', 'COGS14P', 'LSCI3', 'LSCI10', 'LSCI20', 'LSCI51', 'I&CSCI31', 'I&CSCI32', 'I&CSCI33', 'LPS30', 'LPS31', 'MATH2D', 'MATH2E', 'MATH3A', 'MATH3D', 'PHYSICS15', 'PSYCH14M', 'STATS7', 'STATS110', 'STATS111', 'STATS112', 'PSYCH130A', 'PSYCH140C', 'PSYCH140J', 'PSYCH140L', 'PSYCH140M', 'PSYCH150', 'PSYCH160A', 'PSYCH160D', 'COMPSCI171', 'COMPSCI178', 'COMPSCI183', 'LSCI102', 'LSCI111', 'LSCI121', 'PSYCH120A', 'PSYCH120D', 'PSYCH120H', 'PSYCH120P', 'PSYCH131A', 'PSYCH131B', 'PSYCH156A', 'PSYCH161', 'PSYCH161H', 'PSYCH162N']"
comparativeliterature_ba, Comparative Literature,"['COMLIT60A', 'COMLIT60B', 'COMLIT60C', 'COMLIT190W', 'COMLIT105', 'COMLIT130', 'COMLIT132', 'COMLIT140', 'COMLIT142', 'COMLIT143', 'COMLIT144', 'COMLIT100A', 'COMLIT105', 'COMLIT107', 'COMLIT123', 'COMLIT150']"
computerengineering_bs,Computer Engineering,"['EECS55', 'EECS70LA', 'EECS145', 'I&CSCI6D', 'MATH2A', 'MATH2B', 'MATH2D', 'MATH3A', 'MATH3D', 'PHYSICS7C', 'PHYSICS7LC', 'PHYSICS7D', 'PHYSICS7E', 'PHYSICS7LD', 'I&CSCI6B', 'MATH2E', 'PHYSICS51A', 'PHYSICS52A', 'EECS12', 'EECS20', 'EECS22', 'EECS22L', 'EECS31', 'EECS31L', 'EECS40', 'EECS50', 'EECS70A', 'EECS70B', 'EECS70LB', 'EECS111', 'EECS112', 'EECS112L', 'EECS113', 'EECS114', 'EECS118', 'EECS119', 'EECS148', 'EECS159A', 'EECS159B', 'EECS170A', 'EECS170LA', 'EECS170B', 'EECS170LB', 'COMPSCI142A', 'EECS101', 'EECS116', 'EECS117', 'EECS120', 'EECS121', 'EECS141A', 'EECS141B', 'EECS150', 'EECS152A', 'EECS152B', 'EECS195', 'EECS199', 'ENGR7A', 'ENGR7B', 'ENGR190W']"
computerscience_bs,Computer Science,[]
criminologylawandsociety_ba,Criminology Law and Society,[]
dance_ba,Dance,"['DANCE2', 'DANCE21A', 'DANCE60A', 'DANCE90A', 'DANCE90B', 'DANCE90C', 'DANCE100', 'DANCE160', 'DANCE185W', 'DANCE162A', 'DANCE163', 'DANCE164', 'DANCE195', 'DANCE170', 'DANCE171', 'DANCE172']"
datascience_bs,Data Science,"['I&CSCI45C', 'I&CSCI46', 'I&CSCI51', 'MATH2A', 'MATH2B', 'MATH2D', 'MATH3A', 'I&CSCI6B', 'I&CSCI6D', 'STATS5', 'STATS7', 'STATS68', 'STATS110', 'STATS111', 'STATS112', 'STATS115', 'STATS120A', 'STATS120B', 'STATS120C', 'I&CSCI139W', 'COMPSCI122A', 'COMPSCI161', 'COMPSCI178', 'MATH130B', 'MATH130C', 'STATS140', 'I&CSCI53', 'COMPSCI111', 'COMPSCI115', 'COMPSCI121', 'COMPSCI122B', 'COMPSCI122C', 'COMPSCI125', 'COMPSCI131', 'COMPSCI134', 'COMPSCI163', 'COMPSCI165', 'COMPSCI169', 'COMPSCI171', 'COMPSCI172B']"
developmentalandcellbiology_bs,Developmental and Cell Biology,[]
drama_ba,Drama,"['DRAMA10', 'DRAMA15', 'DRAMA20A', 'DRAMA20B', 'DRAMA20C', 'DRAMA30A', 'DRAMA30B', 'DRAMA30C', 'DRAMA50A', 'DRAMA50B', 'DRAMA50C', 'DRAMA50D', 'DRAMA50E', 'DRAMA80']"
