shortened_name,name,ucinetid,department
"BIENDARRA, A.",Anke Biendarra,abiendar,European Languages and Studies
"BIETZ, M.",Matthew J Bietz,mbietz,Informatics
"BINDER, A.",Arnold Binder,abinder,"Criminology, Law & Society"
"BLACK, R.",Rebecca W Black,rwblack,Informatics
"BLAKE, D.",David H Blake,dhblake,Paul Merage School of Business
"BLAKE, D.",Donald R Blake,drblake,Chemistry
"BLANK, J.",Joshua D Blank,jdblank,School of Law
"BLOCK, S.",Sharon Block,sblock,History
"BLUM, S.",Suzanne Blum,blums,Chemistry
"BLUMBERG, B.",Bruce Blumberg,blumberg,Developmental and Cell Biology
"BLURTON-JONES, M.",Mathew Mark Blurton-Jones,mblurton,Neurobiology and Behavior
"BOBROW, J.",James E Bobrow,jebobrow,Mechanical & Aerospace Engineering
"BODE, H.",Hans R Bode,hrbode,Developmental and Cell Biology
"BODEN-ALBALA, B.",Bernadette Marie Boden-Albala,bbodenal,Program in Public Health
"BOELLSTORFF, T.",Thomas David Boellstorff,tboellst,Anthropology
"BOGART, D.",Daniel E Bogart,dbogart,Economics
"BOHLSON, S.",Suzanne Slater Bohlson,bohlsons,Molecular Biology & Biochemistry
"BOLLENS, S.",Scott A Bollens,bollens,Urban Planning & Public Policy
"BONCOMPAGNI, A.",Anna Boncompagni,aboncomp,Philosophy
"BONDY, S.",Stephen C Bondy,scbondy,SOM - Department of Medicine
"BORBA, A.",Andrew L Borba,alborba,Arts-Drama
"BORELLI, J.",Jessie Borelli,jdonckel,Psychological Science
"BORNSTEIN, A.",Aaron Bornstein,bornstea,Cognitive Science
"BORNSTEIN, J.",Jennifer Bornstein,bornstei,Arts-Studio Art
"BOROVIK, A.",Andrew Borovik,aborovik,Chemistry
"BORRELLI, E.",Emiliana Borrelli,borrelli,SOM - Microbiology & Molecular Genetics
"BORUCKI, A.",Alex Borucki,aborucki,History
"BOTVINICK, E.",Elliot L Botvinick,ebotvini,Surgery - Beckman Laser
"BOUNDS, D.",Dawn Therese Bounds,boundsd,Sue & Bill Gross School of Nursing
"BOUSHEY, G.",Graeme T Boushey,gboushey,Political Science
"BOWKER, G.",Geoffrey C Bowker,gbowker,Informatics
"BOWLER, P.",Peter A Bowler,pabowler,Ecology & Evolutionary Biology
"BOWMAN, W.",William J Bowman,wjbowman,Materials Science and Engineering
"BOYD, J.",John P Boyd,jpboyd,Anthropology
"BOYRAZ, O.",Ozdal Boyraz,oboyraz,Electrical Engineering & Computer Science
"BOZORGZADEH, E.",Elaheh Bozorgzadeh,ebozorgz,Computer Science
"BRACKEN, M.",Matthew E Bracken,mbracke1,Ecology & Evolutionary Biology
"BRADFORD, K.",Kevin Duane Bradford,kdbradfo,Paul Merage School of Business
"BRADFORD, T.",Tonya Bradford,twbrad,Paul Merage School of Business
"BRADLEY, T.",Timothy J Bradley,tbradley,Ecology & Evolutionary Biology
"BRANCH, W.",William A Branch,wbranch,Economics
"BRANDO, P.",Paulo Brando,pbrando,Earth System Science
"BRANHAM, S.",Stacy Marie Branham,sbranham,Informatics
"BRANT, D.A.",David A Brant,dbrant,Chemistry
"BRAUER ROGERS, E.",Emily Marie Brauer Rogers,ebrauer,English
"BRESTOFF, R.",Richard Brestoff,brestoff,Arts-Drama
"BREWER, A.",Alyssa A Brewer,aabrewer,Cognitive Science
"BREWER, G.",Gregory J Brewer,gjbrewer,Biomedical Engineering
"BRISCOE, A.",Adriana D Briscoe,abriscoe,Ecology & Evolutionary Biology
"BRODBECK, D.",David Brodbeck,dbrod,Arts-Music
"BROMILEY, P.",Philip Bromiley,bromiley,Paul Merage School of Business
"BROUILLETTE, L.",Liane Rundle Brouillette,lbrouill,Education
"BROUWER, J.",Jacob Brouwer,jbrouwer,Mechanical & Aerospace Engineering
"BROWN, D.",David Allan Brown,davallan,Arts-Dance
"BROWN, S.",Sara E Brown,saraeb,Sue & Bill Gross School of Nursing
"BROWN, S.",Susan K Brown,skbrown,Sociology
"BROWNE, A.",Andrew Browne,abrowne1,Ophthalmology Clinical
"BROWNSTONE, D.",David Brownstone,dbrownst,Economics
"BRUCKNER, T.",Tim Allen Bruckner,brucknet,"Health, Society and Behavior"
"BRUECKNER, J.",Jan K Brueckner,jkbrueck,Economics
"BRUNSTETTER, D.",Daniel R Brunstetter,dbrunste,Political Science
"BRYANT, P.",Peter J Bryant,pjbryant,Developmental and Cell Biology
"BRYANT, S.V.",Susan V Bryant,svbryant,Developmental and Cell Biology
"BUCHMEIER, M.",Michael J Buchmeier,mbuckmei,Molecular Biology & Biochemistry
"BUENO, M.",Michael V Bueno,mvbueno,Sue & Bill Gross School of Nursing
"BUISSON, R.",Remi Buisson,rbuisson,SOM - Biological Chemistry
"BULLOCK, J.",James S Bullock,bullock,Physical Sciences
"BUOTE, D.",David A Buote,buote,Physics and Astronomy
"BURK, D.",Dan Leroy Burk,dburk,School of Law
"BURKE, C.",Carol M Burke,cburke,English
"BURKE, K.",Kieron Burke,kieron,Chemistry
"BURKE, L.",Leanne T Burke,ltburke,Sue & Bill Gross School of Nursing
"BURKE, P.",Peter John Burke,pburke,Electrical Engineering & Computer Science
"BURKE, S.",Shelley A Burke,shelleyb,Sue & Bill Gross School of Nursing
"BURLEY, N.",Nancy T Burley,ntburley,Ecology & Evolutionary Biology
"BURT, E.",Ellen S Burt,esburt,English
"BURTON, C.",Candace W Burton,cwburton,Sue & Bill Gross School of Nursing
"BURTON, M.",Michael L Burton,mlburton,Anthropology
"BURTSEV, A.",Anton Burtsev,aburtsev,Computer Science
"BUSCIGLIO, J.",Jorge A Busciglio,jbuscigl,Neurobiology and Behavior
"BUSH, R.",Robin M Bush,rmbush,Ecology & Evolutionary Biology
"BUSTAMANTE, A.",Andres Sebastian Bustamante,asbustam,Education
"BUSWELL, N.",Natascha Trellinger Buswell,nbuswell,Mechanical & Aerospace Engineering
"BUTTS, C.",Carter Butts,buttsc,Sociology
"Bedelian, L.",Lorna Griffitt Bedelian,lgriffit,Arts-Music
"Berenji, M.",Manijeh Berenji,mberenji,Environ & Occupational Health
"Bojd, B.",Behnaz Ghahestani Bojd,behnazb,Paul Merage School of Business
"Bostanabad, R.",Ramin Baghgar Bostanabad,raminb,Mechanical & Aerospace Engineering
"Bradford, A.",Anita Casavantes Bradford,acasavan,Chicano/Latino Studies
"CABATINGAN, L.",Lee E Cabatingan,lcabatin,"Criminology, Law & Society"
"CADIZ, C.",Aya Fukuma Ozaki,afozaki,Clinical Pharmacy Practice
"CADIZ, C.",Christine Luu Cadiz,cluu,Clinical Pharmacy Practice
"CAHILL, L.",Lamar M Hill,lmhill,History
"CAHILL, L.",Lawrence F Cahill,lfcahill,Neurobiology and Behavior
"CALAVITA, K.",Kitty C Calavita,kccalavi,"Criminology, Law & Society"
"CALOF, A.",Anne L Calof,alcalof,SOM - Anatomy & Neurobiology
"CAMACHO, A.",Alejandro E Camacho,aecamach,School of Law
"CAMPBELL, D.",Diane R Campbell,drcampbe,Ecology & Evolutionary Biology
"CAMPBELL, R.",Richard D Campbell,rcampbel,Developmental and Cell Biology
"CAMPBELL, S.",Sarah L Campbell,campbes,Sue & Bill Gross School of Nursing
"CAMPO, M.",Maritza Salazar Campo,smaritza,Paul Merage School of Business
"CAMPOS, B.",Belinda Campos,bcampos,Chicano/Latino Studies
"CANE, E.",Elizabeth Mary Cane,ecane,Film & Media Studies
"CANEPA, M.",Matthew Philip Canepa,canepam,Art History
"CAO, H.",Hung Cao,hungcao,Electrical Engineering & Computer Science
"CAO, P.",Penghui Cao,caoph,Mechanical & Aerospace Engineering
"CAPOLINO, F.",Filippo Capolino,fcapolin,Electrical Engineering & Computer Science
"CAREY, M.",Michael J Carey,mjcarey,Computer Science
"CARLO, G.",Gustavo Carlo,gcarlo,Education
"CARLSON, R.",Ronald Carlson,rcarlson,English
"CARLTON, A.",Ann Marie G Carlton,agcarlto,Chemistry
"CARPENTER, F.L.",F Lynn Carpenter,flcarpen,Ecology & Evolutionary Biology
"CARRILLO, J.",Juliette Alexandra Carrillo,julietc2,Arts-Drama
"CARROLL, A.",Alicia M Carroll,acrrll,Comparative Literature
"CARROLL, D.",David Carroll,dcarroll,European Languages and Studies
"CARSON, J.",Juli C Carson,carsonj,Arts-Studio Art
"CARTER, D.",David Carter,dcarter2,OVPTL - Summer Session
"CARTER, P.",Paul Anthony Carter,pacarter,Mathematics
"CARTIER, M.",Marie Cartier,mcartier,Film & Media Studies
"CARVALHO, J.",Jean Paul Carvalho,jpcarv,Economics
"CASALI, P.",Peter Li,zeyul23,Social Science Graduate Office
"CASPER, D.",David William Casper,dcasper,Physics and Astronomy
"CASTELLANO, D.",Dennis R Castellano,drcastel,Arts-Drama
"CASTELLANOS, J.",Jeanett Castellanos,castellj,Social Sciences Undergraduate Student Affairs
"CAUFFMAN, E.",Elizabeth E Cauffman,cauffman,Psychological Science
"CHAKRAVARTHY, B.",Bharath Chakravarthy,bchakrav,SOM - Emergency Medicine
"CHAMBERLIN, A.",A Richard Chamberlin,archambe,Pharmaceutical Sciences
"CHAMBERS, S.",Simone E Chambers,sechambe,Political Science
"CHAN, A.",Alexandre Chan,alexac15,Clinical Pharmacy Practice
"CHAN, J.",Jefferson Chan,jchan,SOM - Pathology
"CHANAN, G.",Gary A Chanan,gachanan,Physics and Astronomy
"CHANDLER, N.",Nahum Dimitri Chandler,chandlen,African American Studies
"CHANDRASEKHAR, V.",Vanitha Somanath Chandrasekhar,chandrav,Education
"CHANG, P.",Peter Chang,changp6,SOM - Radiological Sciences
"CHANG, W.",Wayne Wei Chung Chang,wwchang,SOM - Department of Medicine
"CHAPUT, J.",John Charles Chaput,jchaput,Pharmaceutical Sciences
"CHARLES, S.",Susan Turk Charles,scharles,Psychological Science
