shortened_name,name,ucinetid,department
"KHINE, M.",Michelle Khine,mkhine,Biomedical Engineering
"KIA, S.",Solmaz Sajjadi Kia,solmaz,Mechanical & Aerospace Engineering
"KIBLER, D.F.",Dennis F Kibler,dfkibler,Computer Science
"KIKLOWICZ, D.",Douglas V Kiklowicz,dkiklowi,English
"KILLACKEY, H.",Herbert Killackey,hkillack,Neurobiology and Behavior
"KIM, E.",Eleana Kim,eleanak,Anthropology
"KIM, E.",Esther Sanghee Kim,estherk5,Education
"KIM, J.",Jae Hong Kim,jaehk6,Urban Planning & Public Policy
"KIM, K.",Kyung Hyun Kim,kyunghk,East Asian Studies
"KIM, S.",Saewung Kim,saewungk,Earth System Science
"KIM, Y.",Young-Suk Kim,youngsk7,Education
"KIMURA, M.",Mari Kimura,kimuram1,Arts-Music
"KING, C.",Christine E King,kingce,Biomedical Engineering
"KING, S.",Susan King,s3king,Chemistry
"KIRKBY, A.",Anne A Kirkby,akirkby,Physics and Astronomy
"KIRKBY, D.",David P Kirkby,dkirkby,Physics and Astronomy
"KISAILUS, D.",David Kisailus,dkisailu,Materials Science and Engineering
"KISER, P.",Philip Kiser,pkiser,SOM - Physiology & Biophysics
"KLEFSTAD, R.",Raymond O Klefstad,klefstad,Computer Science
"KLEIN, A.",Abel Klein,aklein,Mathematics
"KLEIN, L.",Laura C Klein,lkleinto,European Languages and Studies
"KLEIN, S.",Susan B Klein,sbklein,East Asian Studies
"KLEINFELDER, S.",Stuart A Kleinfelder,stuartk,Electrical Engineering & Computer Science
"KLEINMAN, M.",Michael T Kleinman,mtkleinm,Environ & Occupational Health
"KLEMFUSS, J.",Jessica Zoe Klemfuss,jklemfus,Psychological Science
"KNIGHT, D.",Daniel William Knight,dwknight,Chemical & Biomolecular Engineering
"KOBSA, A.",Alfred Kobsa,kobsa,Informatics
"KOMAROVA, N.",Natalia Komarova,komarova,Mathematics
"KONGSHAUG, E.",Erik Craig Kongshaug,kongshae,English
"KOOPOWITZ, H.",Harold Koopowitz,hkoopowi,Ecology & Evolutionary Biology
"KOPPMAN, S.",Sharon Koppman,skoppman,Paul Merage School of Business
"KOPSTEIN, J.",Jeffrey S Kopstein,kopstein,Political Science
"KOPYLOV, I.",Igor Kopylov,ikopylov,Economics
"KOSLOW, A.",Allison Robbins Koslow,akoslow,Philosophy
"KOSMALA, J.",Jerzy S Kosmala,jkosmala,Arts-Music
"KOZLOWSKI, M.",Madeline A Kozlowski,makozlow,Arts-Drama
"KRAEMER, K.L.",Kenneth L Kraemer,kkraemer,Paul Merage School of Business
"KRAPP, P.",Peter Krapp,krapp,Film & Media Studies
"KRASSNER, S.M.",Stuart M Krassner,smkrassn,Developmental and Cell Biology
"KRAUSE, D.",Diana N Krause,dnkrause,Pharmaceutical Sciences
"KRICHMAR, J.",Jeffrey L Krichmar,jkrichma,Cognitive Science
"KRIVOROTOV, I.",Ilya N Krivorotov,ikrivoro,Physics and Astronomy
"KROLL, J.",Judith Fran Kroll,jkroll,Education
"KRONE MARTINS, A.",Alberto Krone Martins,algol,Informatics
"KRONEWETTER, J.",Jason R Kronewetter,jkronewe,Mathematics
"KRUGGEL, F.",Frithjof Ralf Kruggel,fkruggel,Biomedical Engineering
"KRUPCHYK, K.",Katsiaryna Krupchyk,kkrupchy,Mathematics
"KUBIAK, A.",Anthony James Kubiak,akubiak,Arts-Drama
"KUBRIN, C.",Charis E Kubrin,ckubrin,"Criminology, Law & Society"
"KUHLMAN, K.",Kate R Kuhlman,krkuhl,Psychological Science
"KULINSKY, L.",Lawrence Kulinsky,lkulinsk,Mechanical & Aerospace Engineering
"KUMAR, M.",Mukul Kumar,mukulk,Urban Planning & Public Policy
"KUNIGAMI, A.",Andre Keiji Kunigami,akunigam,Film & Media Studies
"KUPPERMANN, B.",Baruch D Kuppermann,bdkupper,Ophthalmology Clinical
"KURDAHI, F.",Fadi J Kurdahi,kurdahi,Electrical Engineering & Computer Science
"KVON, E.",Evgeny Kvon,ekvon,Developmental and Cell Biology
"KWON, Y.",Yoon Jin Won,won,Mechanical & Aerospace Engineering
"KWON, Y.",Young Jik Kwon,kwonyj,Pharmaceutical Sciences
"Kiazolu, Y.",Yatta W Kiazolu,ykiazolu,Global & International Studies
"LAFARGE, A.",Antoinette Lafarge,alafarge,Arts-Studio Art
"LAFERLA, F.",Frank M Laferla,laferla,School of Biological Sciences
"LAI, A.",Anne Lai,alai8,School of Law
"LAKEY, J.",Jonathan Robert Todd Lakey,jlakey,SOM - Surgery
"LAKON, C.",Cynthia M Lakon,clakon,"Health, Society and Behavior"
"LAMB, J.",Joleah B Lamb,jblamb,Ecology & Evolutionary Biology
"LAMBERT, J.K.",Joseph Lambert,jlambert,Philosophy
"LANDER, A.",Arthur D Lander,adlander,Developmental and Cell Biology
"LANE, T.",Thomas Edward Lane,tlane,Neurobiology and Behavior
"LANKFORD, A.",Andrew J Lankford,ajlankfo,Physics and Astronomy
"LANNING, J.",Joel T Lanning,jtlannin,Civil & Environmental Engineering
"LAO, J.",Jenel Kim Edlund Lao,jklao,Education
"LARUE, J.",John C Larue,jclarue,Henry Samueli School of Engineering
"LATHROP, R.",Richard H Lathrop,rickl,Computer Science
"LATIOLAIS, P.",P Michelle Latiolais,latiolai,English
"LAU, L.",Loraine Lau,llaugesk,Paul Merage School of Business
"LAVERNIA, E.",Enrique Jose Lavernia,lavernia,Materials Science and Engineering
"LAW, M.",Matthew D Law,lawm,Chemistry
"LAWRENCE, J.",Jon M Lawrence,jmlawren,Physics and Astronomy
"LAWRENCE, K.",Karen R Lawrence,krlawren,English
"LAZO, R.",Rodrigo Lazo,rlazo,English
"LE VINE, M.",Mark Andrew Le Vine,mlevine,History
"LEBRON, A.",Alana Lebron,alebron,"Health, Society and Behavior"
"LEE, A.",Abraham Phillip Lee,aplee,Biomedical Engineering
"LEE, D.",Dana Elizabeth Lee,danael1,School of Law
"LEE, G.",Grace Yuh Chwen Lee,grylee,Ecology & Evolutionary Biology
"LEE, H.",Henry P Lee,hplee,Electrical Engineering & Computer Science
"LEE, H.",Howard Lee,hlee524,Physics and Astronomy
"LEE, J.",Jaeho Lee,jaeholee,Mechanical & Aerospace Engineering
"LEE, J.",James Kyung-Jin Lee,jkl,Asian American Studies
"LEE, J.",Jerry Won Lee,jwl,English
"LEE, J.",Joyce Yu-Chia Lee,joyceyl8,Clinical Pharmacy Practice
"LEE, J.",Julia H Lee,juliahl1,Asian American Studies
"LEE, J.",Jung-Ah Lee,jungahl,Sue & Bill Gross School of Nursing
"LEE, J.",Justin Dean Lee,justindl,English
"LEE, M.",Meredith A Lee,malee,European Languages and Studies
"LEE, M.",Michael D Lee,mdlee,Cognitive Science
"LEE, S.",Star Lee,starl,Developmental and Cell Biology
"LEE, S.",Stephen C Lee,stephcl2,Inpatient Pharmacy
"LEE, Y.",Ying-Ying Lee,yingyil7,Economics
"LEGRAS, H.",Horacio Legras,hlegras,Spanish & Portuguese
"LEHMAN, R.",Rachel Cohen Lehman,rlehman,Mathematics
"LEHMANN, M.",Matthias Lehmann,mlehmann,History
"LEHNERT, H.",Herbert H Lehnert,hlehnert,European Languages and Studies
"LEI, D.",Daphne Pi-Wei Lei,dlei,Arts-Drama
"LEMNITZER, A.",Anne Lemnitzer,alemnitz,Civil & Environmental Engineering
"LEON, M.",Michael Leon,mleon,School of Biological Sciences
"LEONARD, K.",Karen B Leonard,kbleonar,Anthropology
"LERCH, J.",Julia Lerch,lerchj,Sociology
"LERNER, J.",Jack I Lerner,jilerner,School of Law
"LESLIE, C.",Christopher R Leslie,crleslie,School of Law
"LESLIE, F.",Frances Leslie,fmleslie,Pharmaceutical Sciences
"LEUNG, M.",Ming D Leung,mdleung,Paul Merage School of Business
"LEUNG, S.",Simon Leung,leungss,Arts-Studio Art
"LEVIN FIORELLI, I.",Ines Levin Fiorelli,inelevin,Political Science
"LEVINE, G.",Glenn S Levine,glevine,European Languages and Studies
"LEVINE, L.",Linda J Levine,llevine,Psychological Science
"LEVORATO, M.",Marco Levorato,levorato,Computer Science
"LEW, A.",Audrey Chen Lew,lewac,Neurobiology and Behavior
"LEWIN, K.",Katrina E Lewin,klewin,English
"LEWIS, J.",Jayne Elizabeth Lewis,jelewis,English
"LEWIS, J.",Joseph S Lewis,jslewis,Arts-Studio Art
"LI, C.",Chen Li,chenli,Computer Science
"LI, H.",Han Li,hanl5,Chemical & Biomolecular Engineering
"LI, Z.",Zhou Li,zhoul15,Electrical Engineering & Computer Science
"LIANG, C.",Chuchu Liang,chuchul2,Paul Merage School of Business
"LIEBECK, R.",Robert Beck,rbeck,Education
"LIEBECK, R.",Robert H Liebeck,rliebeck,Mechanical & Aerospace Engineering
"LIEBERSOHN, C.",Carl J Liebersohn,cjlieber,Economics
"LILJEHOLM, M.",Mimi Liljeholm,mliljeho,Cognitive Science
"LIMOLI, C.",Charles L Limoli,climoli,SOM - Radiation Oncology
"LIMON-RUIZ, A.",Andrea De Vizcaya Ruiz,adevizca,Occupational & Environ Health
"LIN, K.",Kwei-Jay Lin,klin,Electrical Engineering & Computer Science
"LIN, Z.",Zhihong Lin,zhihongl,Physics and Astronomy
"LINDSAY, E.",Eric Crosby Lindsay,lindsaye,Arts-Music
"LINDSAY, K.",Karen L Lindsay,kllindsa,SOM - Pediatrics
"LINK, R.",Renee Danielle Link,rlink,Chemistry
"LITTLE, M.",Mahaliah Ayana Little,littlema,Gender and Sexuality Studies
"LITWIN, C.",Christophe F Litwin,clitwin,European Languages and Studies
"LIU, C.",Catherine Liu,liu,Film & Media Studies
"LIU, C.",Chang C Liu,ccl,Biomedical Engineering
"LIU, F.",Feng Liu,fliu,Mechanical & Aerospace Engineering
"LIU, H.",Haoping Liu,h4liu,SOM - Biological Chemistry
"LIU, W.",Wendy Liu,wfliu,Biomedical Engineering
"LIVINGSTON, L.",Loretta Livingston,llivings,Arts-Dance
"LOCKWOOD, E.",Erin Lockwood,eklockwo,Political Science
"LODOEN, M.",Melissa Lodoen,mlodoen,Molecular Biology & Biochemistry
"LOFTUS, E.",Elizabeth F Loftus,eloftus,Psychological Science
"LONG, A.",Anthony Douglas Long,tdlong,Ecology & Evolutionary Biology
"LONG, M.",Margherita Raymond Long,margherl,East Asian Studies
"LONNER, M.",Mara J Lonner,mjlonner,Arts-Studio Art
"LOPES, C.",Cristina Videira Lopes,lopes,Informatics
"LOPOUR, B.",Beth A Lopour,blopour,Biomedical Engineering
"LORD, C.",Catherine B Lord,cblord,Arts-Studio Art
"LOTFIPOUR, S.",Shahram Lotfipour,shl,SOM - Emergency Medicine
"LOTFIPOUR, S.",Shahrdad Lotfipour,shahrdad,SOM - Emergency Medicine
"LOUDON, C.",Catherine Loudon,cloudon,Ecology & Evolutionary Biology
"LOUI, A.",Annie M Loui,amloui,Arts-Drama
"LOURIE, B.",Ben Lourie,blourie,Paul Merage School of Business
"LOWENGRUB, J.",John S Lowengrub,jlowengr,Mathematics
"LU, Y.",Vanessa Rodriguez,vanessr5,Sue & Bill Gross School of Nursing
"LU, Y.",Yunxia Lu,yunxial1,Population Health & Disease Prevention
"LU, Z.",Zhiqin Lu,zlu,Mathematics
"LUBOVITCH, L.",Lar Lubovitch,llubovit,Arts-Dance
"LUDERER, U.",Ulrike Luderer,uluderer,Occupational & Environ Health
"LUDWIG, J.",Jeffrey T Ludwig,jtludwig,Mathematics
"LUEKER, G.",George S Lueker,lueker,Computer Science
"LUKOWSKI, A.",Angela F Lukowski,alukowsk,Psychological Science
"LUNAWAT, R.",Radhika Lunawat,rlunawat,Paul Merage School of Business
"LUO, R.",Ray Luo,rluo,Molecular Biology & Biochemistry
"LUPTAK, A.",Andrej Luptak,aluptak,Pharmaceutical Sciences
"LUPTON, J.",Julia R Lupton,jrlupton,English
"LUR, G.",Gyorgy Lur,glur,Neurobiology and Behavior
"LUTTERSCHMIDT, D.",Deborah Irene Lutterschmidt,dil,Ecology & Evolutionary Biology
"LYNCH, C.",Cecelia M Lynch,clynch,Political Science
"LYNCH, M.",Molly L Lynch,mlynch,Arts-Dance
"LYNCH, M.",Mona P Lynch,lynchm,"Criminology, Law & Society"
"LYON, D.",David Christian Lyon,dclyon,SOM - Anatomy & Neurobiology
"Lazenby, M.",Mark Lazenby,mlazenby,Sue & Bill Gross School of Nursing
"Li, G.",Guann-Pyng Li,gpli,Electrical Engineering & Computer Science
"Li, J.",Ji Li,jil22,School of Law
"Li, M.",Mo Li,moli,Civil & Environmental Engineering
"Li, S.",Song-Ying Li,sli,Mathematics
"Lin, J.",Jack Jian Lin,linjj,SOM - Neurology
"Lin, S.",Shin Lin,shinlin,Developmental and Cell Biology
"MACCANNELL, J.",Juliet Flower Maccannell,jfmaccan,English
"MACCRORY, F.",Frank MacCrory,fmaccror,Paul Merage School of Business
"MACGREGOR, G.",Grant Macgregor,gmacg,Developmental and Cell Biology
"MACKEY, K.",Katherine Mackey,kmackey,Earth System Science
"MACMILLEN, R.E.",Richard E Macmillen,remacmil,Ecology & Evolutionary Biology
"MADDY, P.",Penelope Jo Maddy,pjmaddy,Logic & Philosophy of Science
"MADOU, M.",Marc J Madou,mmadou,Mechanical & Aerospace Engineering
"MAGNUSDOTTIR, G.",Gudrun Magnusdottir,gudrun,Earth System Science
"MAHADEVAN, M.",Meera Mahadevan,mmahade1,Economics
"MAHIEUX, V.",Viviana Armanda Mahieux,vmahieux,Spanish & Portuguese
"MAHLER, S.",Stephen V Mahler,mahlers,Neurobiology and Behavior
"MAHLKE, S.",Scott Alan Mahlke,smahlke,Computer Science
"MAHMUD, L.",Lilith Mahmud,lmahmud,Anthropology
"MAILLOUX, S.",Steven J Mailloux,sjmaillo,English
"MAJOLI, M.",Monica Majoli,mmajoli,Arts-Studio Art
"MAJUMDER, A.",Aditi Majumder,majumder,Computer Science
"MALABOU, C.",Catherine Malabou,cmalabou,European Languages and Studies
"MALAMENT, D.",David Baruch Malament,dmalamen,Logic & Philosophy of Science
"MALCZEWSKI, J.",Joan Malczewski,jmalczew,History
"MALEK, S.",Sam Malek,malek,Informatics
"MALLY, L.",Lynn Mally,lmally,History
"MANCHAK, J.",Jb Manchak,jmanchak,Logic & Philosophy of Science
"MANDELKERN, M.",Mark A Mandelkern,markm,Physics and Astronomy
"MANDELSHTAM, V.",Vladimir Alexandr Mandelshtam,mandelsh,Chemistry
"MANDER, B.",Bryce A Mander,bmander,SOM - Psychiatry & Human Behavior
"MANDT, S.",Stephan M Mandt,mandt,Computer Science
"MANG, S.",Stephen A Mang,smang,Chemistry
"MANIUTIU, M.",Mihai Maniutiu,mmaniuti,Arts-Drama
"MANNING, J.E.",Jerry E Manning,jemannin,Molecular Biology & Biochemistry
"MARADUDIN, A.",Alexei A Maradudin,aamaradu,Physics and Astronomy
"MARANTZ, N.",Nicholas Joseph Marantz,nmarantz,Urban Planning & Public Policy
"MARCUS, G.",George E Marcus,gmarcus,Anthropology
"MARGULIES, N.",Newton Margulies,nmarguli,Paul Merage School of Business
"MARI, R.",Raffaele Mari,rmari,Economics
"MARIAN, O.",Omri Y Marian,omarian,School of Law
"MARK, G.",Gloria Mark,gmark,Informatics
"MARKOPOULOU, A.",Athina Markopoulou,athina,Electrical Engineering & Computer Science
"MARSH, J.",J Lawrence Marsh,jlmarsh,Developmental and Cell Biology
"MARSHALL, J.",John F Marshall,jfmarsha,Neurobiology and Behavior
"MARTENS, C.",Craig Martens,cmartens,Chemistry
"MARTIN, E.",Elizabeth A Martin,emartin8,Psychological Science
"MARTIN, R.",Rachel Martin,rwmartin,Chemistry
"MARTIN, T.",Theodore Jacob Martin,theodojm,English
"MARTINEZ, C.",Christopher I Olivares Martinez,ciom,Civil & Environmental Engineering
"MARTINEZ, C.",Christopher M Martinez,cmmarti6,Ecology & Evolutionary Biology
"MARTINEZ, D.",Daniel Isai Martinez,dimarti1,Developmental and Cell Biology
"MARTINEZ, N.",Nicole Tamara Martinez,ntmarti1,Sue & Bill Gross School of Nursing
"MARTINEZ, T.",Thomas Farid Martinez,thomasfm,Pharmaceutical Sciences
"MARTINY, A.",Adam C Martiny,amartiny,Ecology & Evolutionary Biology
"MARTINY, J.",Jennifer B Martiny,jmartiny,Ecology & Evolutionary Biology
"MASSEY, L.",Lyle Massey,lmassey,Art History
"MATTHEW, R.",Richard A Matthew,rmatthew,Urban Planning & Public Policy
"MAUNEY, J.",Joshua R Mauney,mauneyj,SOM - Urology
"MAURER, W.",William M Maurer,wmmaurer,School of Social Sciences
"MAUZY-MELITZ, D.",Debra Kay Mauzy-Melitz,dmauzyme,Developmental and Cell Biology
"MAXSON, C.",Cheryl Lee Maxson,cmaxson,"Criminology, Law & Society"
"MAZMANIAN, M.",Melissa A Mazmanian,mmazmani,Informatics
"MAZUMDAR, S.",Sanjoy Mazumdar,mazumdar,Urban Planning & Public Policy
"MCBRIDE, M.",Michael Thomas Mcbride,mcbride,Economics
"MCCARTHY, J.",John Michael McCarthy,jmmccart,Mechanical & Aerospace Engineering
"MCCARTY, P.",Philip Mccarty,mccartyp,Global & International Studies
"MCCLANAHAN, A.",Annie June Mcclanahan,amcclana,English
"MCCLEARY, R.",Richard D Mc Cleary,mccleary,"Criminology, Law & Society"
"MCCLURE, G.",Gregory J Mcclure,gmcclure,English
"MCDONELL, V.",Vincent G Mcdonell,vgmcdone,Advanced Power & Energy Program
"MCEVOY, A.",AnneMarie McEvoy,ampm,Education
"MCGAUGH, J.",James L Mcgaugh,jlmcgaug,Neurobiology and Behavior
"MCGUIRE, M.C.",Martin C Mcguire,mcmcguir,Economics
"MCHENRY, M.",Matthew James Mchenry,mmchenry,Ecology & Evolutionary Biology
"MCKAY, L.",Lowell B Mckay,lmckay,English
"MCKENNA, J.",Joseph H McKenna,mckenna,Religious Studies
"MCKEOWN, K.",Kevin O McKeown,mckeownk,Arts-Music
"MCLOUGHLIN, N.",Nancy Ann Mcloughlin,nmclough,History
"MCMICHAEL, J.L.",James L Mcmichael,jlmcmich,English
"MCNALLY, M.G.",Michael G McNally,mmcnally,Civil & Environmental Engineering
"MCNAUGHTON, B.",Bruce Leslie Mcnaughton,brucemcn,Neurobiology and Behavior
"MCNULTY, R.",Reginald Mcnulty,rmcnulty,Molecular Biology & Biochemistry
"MCPHERSON, A.",Alexander Mcpherson,amcphers,Molecular Biology & Biochemistry
"MCTHOMAS, M.",Mary Mcthomas,mcthomam,Political Science
"MCWILLIAMS, R.",Roger D McWilliams,mcw,Physics and Astronomy
"MEADOWS, T.",Toby Meadows,meadowst,Logic & Philosophy of Science
"MEASE, K.",Kenneth D Mease,kmease,Mechanical & Aerospace Engineering
"MECARTNEY, M.",Martha L Mecartney,martham,Materials Science and Engineering
"MEDNICK, S.",Sara Mednick,mednicks,Cognitive Science
"MEEKER, J.",James W Meeker,jwmeeker,Sociology
"MEHROTRA, S.",Sharad Mehrotra,smehrotr,Computer Science
"MENDEZ, M.",Michael A Mendez,mamende6,Urban Planning & Public Policy
"MENKEL-MEADOW, C.",Carrie J Menkel-Meadow,cmenkelm,School of Law
"MESSOLORAS, I.",Irene Messoloras,imessolo,Arts-Music
"METHERATE, R.",Raju Metherate,rmethera,Neurobiology and Behavior
"MEYER, R.",Ronald L Meyer,rlmeyer,Developmental and Cell Biology
"MEYSKENS, F.",Frank L Meyskens,flmeyske,SOM - Department of Medicine
"MIDDLEBROOKS, J.",John C Middlebrooks,middlebj,SOM - Otolaryngology
"MIHAIL, M.",MILENA MIHAIL,mihail,Computer Science
"MIJALSKI, M.",Maryse Mijalski,mjmijals,European Languages and Studies
"MIKKOR, A.",Alison M Mikkor,amikkor,School of Law
"MILAM, J.",Joel Milam,milamj,Epidemiology & Biostats Faclty
"MILANI, F.",Fabio Milani,fmilani,Economics
"MILES, C.",Christopher Edward Miles,cemiles,Mathematics
"MILES, J.",John R Miles,milesj,English
"MILLER, G.",George E Miller,gemiller,Chemistry
"MILLER, R.",Rasul Miller,rasulm,History
"MILLER, T.",Tyrus H Miller,tyrus,School of Humanities
"MILLWARD, J.",Jessica Millward,millward,History
"MILNER, T.",Thomas E Milner,milnert,Surgery - Beckman Laser
"MIMURA, G.",Glen Masato Mimura,gmimura,Film & Media Studies
"MIN, Y.",Yong Soon Min,ysmin,Arts-Studio Art
"MIRSEPASSI, A.",Aryana Sepassi,asepassi,Clinical Pharmacy Practice
"MITCHELL, L.",Laura J Mitchell,mitchell,History
"MJOLSNESS, E.",Eric D Mjolsness,emj,Computer Science
"MJOLSNESS, L.",Lora W Mjolsness,lora,European Languages and Studies
"MOBLEY, D.",David L Mobley,dmobley,Pharmaceutical Sciences
"MOELLER, R.",Robert G Moeller,rgmoelle,History
"MOHAMED, F.",Farghalli A Mohamed,famohame,Materials Science and Engineering
"MOHRAZ, A.",Ali Mohraz,mohraz,Chemical & Biomolecular Engineering
"MOLINA, K.",Kristine M Molina,kmmolin1,Psychological Science
"MOLLOI, S.",Sabee Molloi,symolloi,SOM - Radiological Sciences
"MOLZON, W.",William R Molzon,wmolzon,Physics and Astronomy
"MONROE, K.",Kristen Monroe,krmonroe,Political Science
"MONTERO ROMAN, V.",Valentina Montero Roman,monterov,English
"MONTOYA, M.",Michael J Montoya,mmontoya,Anthropology
"MONUKI, E.",Edwin S Monuki,emonuki,SOM - Pathology
"MOONEY, C.",Connor R Mooney,mooneycr,Mathematics
"MOONEY, K.",Kailen A Mooney,mooneyk,Ecology & Evolutionary Biology
"MOORE, J.",Jefferson K Moore,jkmoore,Earth System Science
"MOR, L.",Liron Mor,morl,Comparative Literature
"MORALES, A.",Alejandro Morales,amorales,Chicano/Latino Studies
"MORALES-RIVERA, S.",Santiago Morales-Rivera,santiam,Spanish & Portuguese
"MORAN, R.",Rachel Fay Moran,moranrf,School of Law
"MOREAU, E.",Elliott John Moreau,emoreau,Arts-Music
"MOREY, B.",Brittany Morey,bmorey1,"Health, Society and Behavior"
"MORGAN, C.",Cole Morgan,morganc2,English
"MORGAN, J.",Jamelia Morgan,mjamelia,School of Law
"MORLIGHEM, M.",Mathieu Morlighem,mmorligh,Earth System Science
"MORRISSETTE, N.",Naomi Morrissette,nmorriss,Molecular Biology & Biochemistry
"MORRISSEY, S.",Susan Katharine Morrissey,susankm1,History
"MORTAZAVI, S.",Seyed Ali Mortazavi,seyedam,Developmental and Cell Biology
"MOSALLAM, A.",Ayman Soliman Mosallam,mosallam,Civil & Environmental Engineering
"MUDIWA, R.",Rudo Robin Mudiwa,rmudiwa,Gender and Sexuality Studies
"MUELLER, L.",Laurence D Mueller,ldmuelle,Ecology & Evolutionary Biology
"MUKAMEL, D.",Dana Mukamel,dmukamel,DOM General Internal Medicine
"MUKAMEL, S.",Shaul Mukamel,smukamel,Chemistry
"MUKHERJEE, J.",Jogeshwar Mukherjee,mukherjj,SOM - Radiological Sciences
"MULLIGAN, R.",Robert Michael Mulligan,rmmullig,Developmental and Cell Biology
"MULNARD, R.",Ruth A Mulnard,ramulnar,Irvine Institute for Clinical and Translational Science
"MUMM, D.",Daniel R Mumm,mumm,Materials Science and Engineering
"MUNIZ, A.",Ana Laufersky Muniz,anamuniz,"Criminology, Law & Society"
"MUNRO, I.",Ian Andrew Munro,imunro,Arts-Drama
"MURATA, M.",Margaret K Murata,mkmurata,Arts-Music
"MURGIA, S.",Simona Murgia,smurgia,Physics and Astronomy
"MURPHY, K.",Keith M Murphy,kmmurphy,Anthropology
"MURPHY, K.",Kenneth Murphy,murphyke,Paul Merage School of Business
"MURRAY, C.",Craig Murray,cmurray1,Chemistry
"MUZIO, L.",Lawrence Joseph Muzio,lmuzio,Mechanical & Aerospace Engineering
"Meenakshisundaram, G.",Gopi Meenakshisundaram,gopi,Computer Science
"NAEIM, F.",Farzad Naeim,fnaeim,Civil & Environmental Engineering
"NAGAI, A.",Ayako Nagai,ayako,East Asian Studies
"NAM, S.",SungWoo Nam,sungwoon,Mechanical & Aerospace Engineering
"NAM, S.",Sylvia Nam,sgnam,Anthropology
"NAN, B.",Bin Nan,nanb,Statistics
"NAPUTI, T.",Tiara R Naputi,tnaputi,Global & International Studies
"NARDI, B.",Bonnie A Nardi,nardi,Informatics
"NARENS, L.",Louis E Narens,lnarens,Cognitive Science
"NATION, D.",Daniel A Nation,dnation,Psychological Science
"NAUGLE, L.",Lisa Marie Naugle,lnaugle,Arts-Dance
"NAVAJAS, G.",Gonzalo Navajas,gnavajas,Spanish & Portuguese
"NAVARRO, E.",Emily Navarro,emilyo,Informatics
"NAVARRO, P.",Peter Navarro,navarrop,Paul Merage School of Business
"NAWAB, F.",Faisal S Nawab,nawabf,Computer Science
"NEFTCI, E.",Emre Neftci,eneftci,Cognitive Science
"NELSON, A.",Alan Nelson,anelson,Philosophy
"NELSON, E.",Edward L Nelson,enelson,SOM - Department of Medicine
"NELSON, J.",John Stuart Nelson,jsnelson,Surgery - Beckman Laser
"NELSON, K.",Keith L Nelson,klnelson,History
"NENADIC, Z.",Zoran Nenadic,znenadic,Biomedical Engineering
"NEUMARK, D.",David Neumark,dneumark,Economics
"NEWMAN, J.",Jane O Newman,jonewman,Comparative Literature
"NEWMAN, R.",Riley D Newman,rdnewman,Physics and Astronomy
"NEWSOM, R.",Robert W Newsom,rnewsom,English
"NGUYEN, L.",Lee Nguyen,leen9,Clinical Pharmacy Practice
"NGUYEN, M.",Megan Nguyen,kimhongn,Clinical Pharmacy Practice
"NGUYEN, P.",Phu Dinh Nguyen,ndphu,Civil & Environmental Engineering
"NIAN, T.",Tingting Nian,tnian,Paul Merage School of Business
"NICHOLAS, A.",Andrea Cecilia Nicholas,acnichol,Neurobiology and Behavior
"NICHOLAS, D.",Dequina Angelina Nicholas,dequinaa,Molecular Biology & Biochemistry
"NICHOLLS, W.",Walter Nicholls,wnicholl,Urban Planning & Public Policy
"NICOLAU, A.",Alexandru Nicolau,anicolau,Computer Science
"NIE, Q.",Qing Nie,qnie,Mathematics
"NIELSEN, R.",Robert J Nielsen,rjnielse,Chemical & Biomolecular Engineering
"NIELSEN, T.",Tiffany K Nielsen,nielsent,Sue & Bill Gross School of Nursing
"NISBET, J.",James Proctor Nisbet,jnisbet,Art History
"NIZKORODOV, S.",Sergey Nizkorodov,nizkorod,Chemistry
"NOLAND, C.",Carrie J Noland,cjnoland,European Languages and Studies
"NORFLEET, D.",Dawn M Norfleet,dnorflee,Arts-Music
"NORRIS, M.",Margot Norris,mnorris,English
"NOVACO, R.",Raymond W Novaco,rwnovaco,Psychological Science
"NOWICK, J.",James S Nowick,jsnowick,Chemistry
"NOYMER, A.",Andrew Noymer,noymer,Population Health & Disease Prevention
"NUNEZ, D.",Dayle Seidenspinner Nunez,dsnunez,Spanish & Portuguese
"NYAMATHI, A.",Adeline M Nyamathi,anyamath,Sue & Bill Gross School of Nursing
"NYKWEST, R.C.",Robert W West,rwwest,Mathematics
"Navarrete, M.",Miguel R Quintana Navarrete,miguelrq,"Criminology, Law & Society"
"Nicolas, B.",Brenda Nicolas,nicolasb,Global & International Studies
"Norden-Krichmar, T.",Trina M Norden-Krichmar,tnordenk,Epidemiology & Biostats Faclty
"O'CONNOR, C.",Cailin O'connor,cailino,Logic & Philosophy of Science
"O'CONNOR, L.",Laura Brigid O'connor,loconnor,English
"O'DOWD, D.",Diane K O'dowd,dkodowd,Academic Personnel
"O'TOOLE, R.",Rachel Sarah O'Toole,rotoole,History
"OCHOA RICOUX, J.",Juan Pedro Ochoa Ricoux,jpochoa,Physics and Astronomy
"ODEGAARD, A.",Andrew O Odegaard,aodegaar,Epidemiology & Biostats Faclty
"ODGERS, C.",Candice L Odgers,codgers,Psychological Science
"OGUNFOLU, A.",Adedeji Ogunfolu,aogunfol,Arts-Music
"OGUNSEITAN, O.",Oladele A Ogunseitan,oaogunse,Population Health & Disease Prevention
